Time (s)	MFC 3 Flow (sccm)	MFC 4 Flow (sccm)
0.306	28.143417	281.257416
0.803	28.143417	281.257416
1.309	28.143417	281.257416
1.805	28.143417	281.257416
2.317	28.143417	281.257416
2.816	28.143417	281.257416
3.328	28.143417	281.257416
3.831	28.143417	281.257416
4.331	28.143417	281.257416
4.828	28.143417	281.257416
5.333	28.143417	281.257416
5.845	28.143417	281.257416
6.347	28.143417	281.257416
6.858	28.143417	281.257416
7.360	28.143417	281.257416
7.864	28.143417	281.257416
8.365	28.143417	281.257416
8.866	28.143417	281.257416
9.378	28.143417	281.257416
9.879	28.143417	281.257416
10.379	28.143417	281.257416
10.892	28.143417	281.257416
11.389	28.143417	281.257416
11.892	28.143417	281.257416
12.394	28.143417	281.257416
12.904	28.143417	281.257416
13.409	28.143417	281.257416
13.909	28.143417	281.257416
14.409	28.143417	281.257416
14.910	28.143417	281.257416
15.408	28.143417	281.257416
15.913	28.143417	281.257416
16.423	28.143417	281.257416
16.924	28.143417	281.257416
17.424	28.143417	281.257416
17.939	28.143417	281.257416
18.440	28.143417	281.257416
18.940	28.143417	281.257416
19.451	28.143417	281.257416
19.952	28.143417	281.257416
20.455	28.143417	281.257416
20.956	28.143417	281.257416
21.456	28.143417	281.257416
21.972	28.143417	281.257416
22.473	28.143417	281.257416
